Id. zařízení;Typ;Název zařízení;Obec;Ulice;Č.p.;Č.o.;M.část.;PSČ;Cizí vyučovací jazyk;Kapacita;Platnost zařízení;address
107531275;A00;Mateřská škola;Dobrá Voda u Českých Budějovic;Zacharova;1989;17;Dobrá Voda u Českých Budějovic;37316;;105;Platné;Dobrá Voda u Českých Budějovic, Zacharova 1989/17
107720027;B00;Základní škola;Dobrá Voda u Českých Budějovic;Na Vyhlídce;2209;6;Dobrá Voda u Českých Budějovic;37316;;360;Platné;Dobrá Voda u Českých Budějovic, Na Vyhlídce 2209/6
114200572;G21;Školní družina;Dobrá Voda u Českých Budějovic;Na Vyhlídce;2209;6;Dobrá Voda u Českých Budějovic;37316;;150;Platné;Dobrá Voda u Českých Budějovic, Na Vyhlídce 2209/6
114201048;L11;Školní jídelna;Dobrá Voda u Českých Budějovic;Na Vyhlídce;2209;6;Dobrá Voda u Českých Budějovic;37316;;460;Platné;Dobrá Voda u Českých Budějovic, Na Vyhlídce 2209/6
107530457;A00;Mateřská škola;Chrášťany;;100;;Chrášťany;37304;;65;Platné;Chrášťany, 100
107720400;B00;Základní škola;Chrášťany;;100;;Chrášťany;37304;;150;Platné;Chrášťany, 100
114200696;G21;Školní družina;Chrášťany;;100;;Chrášťany;37304;;45;Platné;Chrášťany, 100
102475547;L11;Školní jídelna;Chrášťany;;100;;Chrášťany;37304;;300;Platné;Chrášťany, 100
107530872;A00;Mateřská škola;Temelín;;129;;Temelín;37301;;26;Platné;Temelín, 129
108023753;B00;Základní škola;Temelín;;129;;Temelín;37301;;51;Platné;Temelín, 129
114201021;G21;Školní družina;Temelín;;129;;Temelín;37301;;51;Platné;Temelín, 129
102463891;L11;Školní jídelna;Temelín;;129;;Temelín;37301;;60;Platné;Temelín, 129
107530767;A00;Mateřská škola;Doudleby;;57;;Doudleby;37007;;44;Platné;Doudleby, 57
107720035;B00;Základní škola;Doudleby;;2;;Doudleby;37007;;45;Platné;Doudleby, 2
114200840;G21;Školní družina;Doudleby;;2;;Doudleby;37007;;30;Platné;Doudleby, 2
102463816;L11;Školní jídelna;Doudleby;;57;;Doudleby;37007;;90;Platné;Doudleby, 57
107530660;A00;Mateřská škola;Všemyslice;;11;;Neznašov;37302;;39;Platné;Všemyslice, 11
108023761;B00;Základní škola;Všemyslice;;29;;Neznašov;37302;;80;Platné;Všemyslice, 29
114201030;G21;Školní družina;Všemyslice;;29;;Neznašov;37302;;65;Platné;Všemyslice, 29
102463751;L11;Školní jídelna;Všemyslice;;29;;Neznašov;37302;;119;Platné;Všemyslice, 29
181075938;L13;Školní jídelna - výdejna;Všemyslice;;11;;Neznašov;37302;;39;Platné;Všemyslice, 11
107530554;A00;Mateřská škola;Horní Stropnice;;193;;Horní Stropnice;37335;;62;Platné;Horní Stropnice, 193
107720396;B00;Základní škola;Horní Stropnice;;214;;Horní Stropnice;37335;;270;Platné;Horní Stropnice, 214
114200688;G21;Školní družina;Horní Stropnice;;214;;Horní Stropnice;37335;;70;Platné;Horní Stropnice, 214
102475539;L11;Školní jídelna;Horní Stropnice;;214;;Horní Stropnice;37335;;350;Platné;Horní Stropnice, 214
